이름,출시일,종족,성격,역할,공격방식,배치,사복(개수)
다야,2023년 출시 당시,용족,순수,딜러,마법,후열,3
이프리트,2023년 출시 당시,정령,광기,딜러,마법,전열,1
코미,2023년 출시 당시,수인,우울,탱커,물리,전열,2
마에스트로 2호,2023년 출시 당시,엘프,광기,탱커,물리,전열,1
네르,2023년 출시 당시,요정,광기,서포터,마법,전열,3
림,2023년 출시 당시,유령,우울,딜러,물리,전열,3
스피키,2023년 출시 당시,유령,순수,서포터,마법,후열,1
실라,2023년 출시 당시,정령,냉정,딜러,물리,후열,2
벨벳,2023년 출시 당시,마녀,냉정,탱커,물리,전열,2
빅우드,2023년 출시 당시,정령,순수,탱커,물리,전열,1
제이드,2023년 출시 당시,용족,냉정,딜러,마법,중열,1
아멜리아,2023년 출시 당시,엘프,냉정,서포터,물리,후열,4
벨리타,2023년 출시 당시,마녀,광기,딜러,마법,후열,2
에르핀,2023년 출시 당시,요정,순수,딜러,마법,후열,5
루포,2023년 출시 당시,수인,활발,딜러,물리,중열,2
에슈르,2023년 출시 당시,요정,우울,딜러,마법,후열,2
엘레나,2023년 출시 당시,엘프,냉정,딜러,물리,중열,3
프리클,2023년 출시 당시,마녀,냉정,딜러,마법,중열,3
키디언,2023년 출시 당시,용족,우울,딜러,물리,전열,3
루드,2023년 출시 당시,용족,활발,탱커,물리,전열,1
셰이디,2023년 출시 당시,유령,광기,딜러,물리,전열,2
디아나,2023년 출시 당시,수인,광기,서포터,마법,중열,4
가비아,2023년 출시 당시,정령,순수,서포터,마법,중열,2
칸나,2023년 출시 당시,엘프,활발,딜러,물리,후열,3
베니,2023년 출시 당시,수인,활발,딜러,물리,전열,1
시스트,2023년 출시 당시,용족,광기,딜러,물리,중열,2
버터,2023년 출시 당시,수인,활발,딜러,물리,후열,3
페스타,2023년 출시 당시,엘프,우울,서포터,물리,전열,1
레비,2023년 출시 당시,마녀,우울,딜러,물리,중열,1
마리,2023년 출시 당시,요정,활발,딜러,물리,중열,0
멜루나,2023년 출시 당시,정령,냉정,서포터,마법,후열,1
포셔,2023년 출시 당시,마녀,우울,서포터,마법,후열,4
쥬비,2023년 출시 당시,정령,활발,딜러,물리,중열,1
에스피,2023년 출시 당시,유령,냉정,서포터,마법,후열,1
마고,2023년 출시 당시,수인,순수,서포터,마법,중열,0
마요,2023년 출시 당시,요정,광기,딜러,물리,후열,1
로네,2023년 출시 당시,엘프,순수,탱커,물리,전열,2
시온 더 다크불릿,2023년 출시 당시,유령,우울,딜러,물리,후열,5
클로에,2023년 출시 당시,요정,광기,탱커,마법,전열,5
아야,2023년 출시 당시,마녀,냉정,딜러,마법,중열,5
우이,2023년 출시 당시,정령,활발,서포터,마법,중열,4
레이지,2023년 출시 당시,엘프,냉정,딜러,물리,후열,0
메죵,2023년 출시 당시,유령,광기,딜러,물리,후열,0
밍스,2023년 출시 당시,수인,활발,딜러,물리,중열,0
베루,2023년 출시 당시,유령,우울,딜러,물리,중열,0
사리,2023년 출시 당시,유령,순수,딜러,물리,중열,0
알레트,2023년 출시 당시,엘프,순수,탱커,물리,전열,0
유미미,2023년 출시 당시,수인,광기,딜러,물리,후열,0
쵸피,2023년 출시 당시,수인,우울,딜러,물리,중열,0
카렌,2023년 출시 당시,요정,활발,딜러,마법,후열,0
큐이,2023년 출시 당시,요정,순수,서포터,마법,중열,0
타이다,2023년 출시 당시,엘프,활발,딜러,물리,후열,0
파트라,2023년 출시 당시,요정,냉정,딜러,물리,전열,0
티그,2023년 1분기,수인,활발,딜러,물리,전열,2
나이아,2023년 1분기,정령,순수,서포터,마법,중열,4
실피르,2023년 1분기,용족,우울,딜러,물리,중열,2
비비,2023년 1분기,용족,순수,탱커,마법,전열,5
힐데,2023년 1분기,엘프,우울,서포터,마법,중열,3
셀리네,2023년 1분기,유령,활발,탱커,마법,전열,4
에피카,2024년 1분기,수인,활발,딜러,물리,중열,4
앨리스,2024년 1분기,유령,광기,딜러,마법,중열,4
리츠,2024년 1분기,용족,광기,딜러,물리,전열,1
피코라,2024년 1분기,마녀,냉정,서포터,마법,후열,3
블랑셰,2024년 1분기,정령,우울,딜러,마법,중열,3
이드,2023년 출시 당시,엘프,냉정,탱커,마법,전열,4
슈팡,2024년 2분기,요정,활발,서포터,마법,후열,3
캬롯,2024년 2분기,요정,순수,서포터,마법,후열,3
롤렛,2024년 2분기,마녀,광기,딜러,마법,후열,2
바나,2024년 2분기,수인,활발,서포터,물리,후열,0
리스티,2024년 2분기,엘프,우울,딜러,물리,후열,3
코미,2023년 출시 당시,수인,냉정,서포터,마법,중열,2
리뉴아,2024년 2분기,엘프,광기,딜러,물리,중열,2
헤일리,2024년 3분기,엘프,순수,딜러,물리,중열,3
레테,2024년 3분기,유령,냉정,탱커,물리,전열,0
모모,2024년 3분기,수인,활발,딜러,마법,후열,4
바롱,2024년 3분기,유령,냉정,딜러,마법,전열,3
바리에,2024년 3분기,마녀,우울,서포터,마법,후열,0
스노키,2024년 3분기,마녀,우울,탱커,물리,전열,2
피라,2024년 3분기,용족,광기,서포터,물리,후열,2
칸타,2024년 3분기,요정,냉정,딜러,물리,중열,0
셰럼,2024년 3분기,마녀,순수,탱커,마법,전열,3
죠안,2024년 3분기,요정,우울,서포터,물리,모든열,4
그윈,2024년 4분기,수인,냉정,서포터,마법,전열,2
폴랑,2024년 4분기,요정,광기,서포터,물리,후열,3
스피키/메이드,2023년 출시 당시,유령,활발,딜러,마법,후열,2
리온,2024년 4분기,수인,우울,탱커,물리,전열,2
오팔,2024년 4분기,용족,순수,서포터,물리,중열,4
란,2025년 1분기,수인,순수,딜러,마법,후열,3
림,2023년 출시 당시,유령,광기,딜러,물리,후열,4
아이시아,2025년 1분기,엘프,냉정,딜러,마법,후열,3
샤샤,2025년 1분기,요정,우울,딜러,마법,중열,3
슈로,2025년 1분기,수인,활발,서포터,물리,전열,2
라이카,2025년 1분기,정령,순수,딜러,물리,전열,2
벨라,2025년 1분기,유령,활발,탱커,마법,전열,2
